date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-07-09,FEIRA DE SANTANA,4161,1,570,4732,80,4.90,614872,769.59,0
2020-07-09,ITABERABA,95,12,261,368,13,0.38,64489,570.64,0
2020-07-09,ARACI,96,0,241,337,17,0.35,54379,619.72,0
2020-07-09,CONCEICAO DO COITE,178,1,130,309,28,0.32,66612,463.88,0
2020-07-09,SERRINHA,167,0,134,301,0,0.31,80861,372.24,0
2020-07-09,VALENTE,84,0,150,234,7,0.24,28473,821.83,0
2020-07-09,SAO GONCALO DOS CAMPOS,59,0,149,208,0,0.22,37550,553.93,0
2020-07-09,CONCEICAO DO JACUIPE,155,0,41,196,0,0.20,33153,591.20,0
2020-07-09,SANTA BARBARA,165,0,20,185,0,0.19,20791,889.81,0
2020-07-09,TEOFILANDIA,37,0,118,155,0,0.16,22518,688.34,1
2020-07-09,RIACHAO DO JACUIPE,33,0,93,126,1,0.13,33436,376.84,0
2020-07-09,AMELIA RODRIGUES,87,0,34,121,0,0.13,25102,482.03,0
2020-07-09,QUEIMADAS,59,0,55,114,11,0.12,25439,448.13,0
2020-07-09,RUY BARBOSA,21,0,93,114,3,0.12,30814,369.96,0
2020-07-09,SANTALUZ,27,0,72,99,3,0.10,37348,265.07,0
2020-07-09,MONTE SANTO,37,0,62,99,3,0.10,49418,200.33,0
2020-07-09,IPIRA,77,0,11,88,0,0.09,59595,147.66,0
2020-07-09,PINTADAS,44,0,42,86,1,0.09,10437,823.99,1
2020-07-09,TERRA NOVA,60,1,24,85,1,0.09,13033,652.19,0
2020-07-09,IRAQUARA,7,0,76,83,0,0.09,25216,329.16,1
2020-07-09,SOUTO SOARES,4,0,78,82,2,0.08,16979,482.95,0
2020-07-09,RAFAEL JAMBEIRO,63,0,16,79,2,0.08,22621,349.23,0
2020-07-09,CANSANCAO,25,0,50,75,1,0.08,34834,215.31,0
2020-07-09,RETIROLANDIA,33,0,41,74,0,0.08,14396,514.03,0
